-43.000000,-43.000000,-43.200000
-43.000000,-43.000000,-43.000000
-43.000000,-43.000000,-43.800000
-43.000000,-43.000000,-44.000000
-48.200000,-47.700000,-49.000000
-50.600000,-48.600000,-50.800000
-49.500000,-47.900000,-46.200000
-66.400000,-65.600000,-67.600000
-58.500000,-60.300000,-55.900000
-60.600000,-54.100000,-53.000000
-66.400000,-64.100000,-56.600000
-62.800000,-55.100000,-60.000000
-71.800000,-63.200000,-67.000000
-55.600000,-60.100000,-62.900000
-63.000000,-72.400000,-67.000000
-66.100000,-57.700000,-63.400000
-69.100000,-64.900000,-70.400000
-63.400000,-59.000000,-58.900000
-64.300000,-58.000000,-68.800000
-71.700000,-61.700000,-67.700000
-50.600000,-50.300000,-51.700000
-53.000000,-48.900000,-50.800000
-49.000000,-48.300000,-47.400000
-48.100000,-45.900000,-47.600000
-55.000000,-53.300000,-55.800000
-67.500000,-63.200000,-57.900000
-61.700000,-57.200000,-67.600000
-60.400000,-60.000000,-59.500000
-72.900000,-65.100000,-61.900000
-61.300000,-60.100000,-59.500000
-69.300000,-70.800000,-65.000000
-53.900000,-61.800000,-70.700000
-69.600000,-66.500000,-71.100000
-65.800000,-64.600000,-58.700000
-69.300000,-72.600000,-65.700000
-60.500000,-63.600000,-60.300000
-60.000000,-62.200000,-60.700000
-61.300000,-70.500000,-59.900000
-66.500000,-80.000000,-70.200000
-65.400000,-63.400000,-70.600000
-68.100000,-63.500000,-64.600000
-66.800000,-62.600000,-63.100000
-65.300000,-66.900000,-62.900000
-59.700000,-58.800000,-57.600000
-60.600000,-55.400000,-53.300000
-72.200000,-64.700000,-64.000000
-64.800000,-59.800000,-66.000000
-57.300000,-55.500000,-54.600000
-65.000000,-56.100000,-61.700000
-64.500000,-64.400000,-68.700000
-62.500000,-70.000000,-63.800000
-65.100000,-60.300000,-68.800000
-68.500000,-74.900000,-64.300000
-66.700000,-68.100000,-65.000000
-72.000000,-69.100000,-68.300000
-63.600000,-67.900000,-68.900000
-74.100000,-65.700000,-68.000000
-80.300000,-62.900000,-75.000000
-73.600000,-65.000000,-63.000000
-65.500000,-61.900000,-60.700000
-58.500000,-58.100000,-60.300000
-70.200000,-69.100000,-72.600000
-64.300000,-65.900000,-63.700000
-67.900000,-59.100000,-67.600000
-57.600000,-60.000000,-59.600000
-71.100000,-69.300000,-67.900000
-61.000000,-67.600000,-69.000000
-71.800000,-62.100000,-68.700000
-71.000000,-67.900000,-65.900000
-75.100000,-66.200000,-61.200000
-68.300000,-66.100000,-70.200000
-76.600000,-69.100000,-72.200000
-66.700000,-71.700000,-68.600000
-62.000000,-67.200000,-63.400000
-67.400000,-65.100000,-64.200000
-69.800000,-60.300000,-73.300000
-83.900000,-62.600000,-61.900000
-64.000000,-69.100000,-67.900000
-81.500000,-69.900000,-63.400000
-65.500000,-63.100000,-64.900000
-66.200000,-63.300000,-70.600000
-72.500000,-71.800000,-68.300000
-68.200000,-65.500000,-63.600000
-65.600000,-62.900000,-64.400000
-66.800000,-67.100000,-69.000000
-63.500000,-68.700000,-69.200000
-74.600000,-72.300000,-68.200000
-71.000000,-70.600000,-70.400000
-74.400000,-65.200000,-74.100000
-62.600000,-73.500000,-72.200000
-73.500000,-63.600000,-72.200000
-70.300000,-69.300000,-69.300000
-71.000000,-70.500000,-73.000000
-68.000000,-69.100000,-68.200000
-66.800000,-75.300000,-64.900000
-72.900000,-59.800000,-76.400000
-61.000000,-69.100000,-61.700000
-63.300000,-64.800000,-70.500000
-68.200000,-71.400000,-68.900000
-66.300000,-57.400000,-61.000000
